"date","Clarke","Barrow","Jackson","Madison","Oconee","Oglethorpe","Walton","Banks","Elbert","Franklin","Greene","Hancock","Hart","Morgan","Putnam","Stephens","Taliaferro"
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-24,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0
2020-03-25,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0
2020-03-26,8,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-27,5,2,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
2020-03-28,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
2020-03-29,0,-1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-30,12,3,0,0,1,0,1,1,0,2,2,0,1,0,0,0,0
2020-03-31,4,10,6,0,4,1,4,2,0,0,4,0,2,1,0,1,0
2020-04-01,3,1,2,0,1,0,4,0,0,1,1,0,-1,0,1,1,0
2020-04-02,1,0,1,2,2,0,2,0,0,0,0,0,0,0,1,0,0
2020-04-03,4,2,2,2,2,0,1,0,1,0,4,0,0,0,0,0,0
2020-04-04,3,3,2,0,3,0,2,0,0,0,0,0,0,0,0,1,0
2020-04-05,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2020-04-06,10,4,3,2,0,0,2,-1,1,-2,3,0,0,4,1,2,0
2020-04-07,6,13,5,0,9,1,2,2,0,0,8,1,0,4,2,5,0
2020-04-08,3,4,0,1,0,0,2,0,1,0,0,0,0,2,0,2,0
2020-04-09,1,2,3,0,1,3,5,1,0,0,1,0,0,1,0,0,0
2020-04-10,-1,3,0,0,3,7,2,2,0,1,1,0,0,1,0,1,0
2020-04-11,1,0,0,0,-1,0,4,0,0,0,0,2,0,0,0,1,0
2020-04-12,2,4,1,0,2,0,4,0,0,0,1,0,0,0,1,0,0
2020-04-13,4,2,2,1,1,1,3,0,3,0,4,0,2,1,1,3,0
2020-04-14,7,1,3,1,2,5,3,1,0,0,0,2,0,0,2,0,0
2020-04-15,7,10,3,1,3,13,6,1,1,3,4,1,0,2,3,4,0
2020-04-16,0,13,8,1,1,1,2,4,0,3,6,0,0,2,2,4,0
2020-04-17,4,4,3,0,3,0,2,0,0,0,0,0,0,0,3,2,0
2020-04-18,0,2,1,0,0,0,1,0,0,0,2,1,0,1,2,1,0
2020-04-19,4,3,1,0,2,1,2,1,0,0,1,0,1,2,3,4,0
2020-04-20,4,3,7,1,1,1,2,1,0,2,2,3,0,0,3,5,0
2020-04-21,2,8,2,2,2,0,0,1,0,0,5,0,0,1,1,1,0
2020-04-22,2,2,6,1,0,0,10,0,3,1,0,1,0,0,1,1,0
